1,安永华明会计师事务所,"",AN202403141626755358,2024-03-15,平安银行,1302,000001,2024
2,毕马威华振会计师事务所,"",AN202403281628506883,2024-03-29,万科A,1303,000002,2024
3,大华会计师事务所,"",AN202403131626658747,2024-03-14,飞亚达,1304,000026,2024
4,德勤华永会计师事务所,"",AN202403271628324455,2024-03-28,深纺织A,1305,000045,2024
5,中证天通会计师事务所,"",AN202403291629101923,2024-03-30,中成股份,1306,000151,2024
6,普华永道中天会计师事务所,"",AN202403281628531650,2024-03-29,申万宏源,1307,000166,2024
7,普华永道中天会计师事务所,"",AN202403271628325608,2024-03-28,美的集团,1308,000333,2024
8,毕马威华振会计师事务所,"",AN202403251628109411,2024-03-26,潍柴动力,1309,000338,2024
9,大信会计师事务所,"",AN202403221627623306,2024-03-23,胜利股份,1310,000407,2024
10,永拓会计师事务所,"",AN202403151626859896,2024-03-16,粤高速A,1311,000429,2024
11,致同会计师事务所,"",AN202403281628450949,2024-03-29,丽珠集团,1313,000513,2024
12,致同会计师事务所,"",AN202403261628189403,2024-03-27,华金资本,1314,000532,2024
13,深圳大华国际会计师事务所,"",AN202403291629062525,2024-03-30,万泽股份,1315,000534,2024
14,立信会计师事务所,"",AN202403291629049306,2024-03-30,中原环保,1316,000544,2024
15,天衡会计师事务所,"",AN202404081630057190,2024-04-09,创元科技,1319,000551,2024
16,信永中和会计师事务所,"",AN202403281628505436,2024-03-29,神州信息,1320,000555,2024
17,信永中和会计师事务所,"",AN202403281628478482,2024-03-29,中油资本,1321,000617,2024
18,中兴财光华会计师事务所,"",AN202403291629102473,2024-03-30,*ST新联,1322,000620,2024
19,立信会计师事务所,"",AN202403251628084239,2024-03-26,钒钛股份,1323,000629,2024
20,永拓会计师事务所,"",AN202404111630150504,2024-04-12,恒天海龙,1325,000677,2024
21,大华会计师事务所,"",AN202404081630058467,2024-04-09,宝新能源,1326,000690,2024
22,立信会计师事务所,"",AN202403201627320491,2024-03-21,滨海能源,1327,000695,2024
23,毕马威华振会计师事务所,"",AN202403121626489705,2024-03-13,中信特钢,1328,000708,2024
24,致同会计师事务所,"",AN202403291629085939,2024-03-30,中兴商业,1329,000715,2024
25,和信会计师事务所,"",AN202403071625940867,2024-03-08,普洛药业,1330,000739,2024
26,德勤华永会计师事务所,"",AN202403081626051351,2024-03-09,国海证券,1331,000750,2024
27,任大华会计师事务所,"",AN202404011629218010,2024-04-02,中航西飞,1332,000768,2024
28,安永华明会计师事务所,"",AN202403281628490801,2024-03-29,广发证券,1333,000776,2024
